sample_id,language,speaker_num,sex,age,birth_place,native_language,other_languages,age_of_english_onset,english_learning_method,english_residence,length_english_residence_years,has_ipa,page_url,audio_url,tier,selection_note
arabic131,arabic,131,male,20.0,"riyadh, saudi arabia",arabic,none,17.0,academic,usa,4.0,False,https://accent.gmu.edu/samples/arabic131/,https://accent.gmu.edu/audio/arabic131.mp3,primary,residence 4y
arabic42,arabic,42,male,21.0,"jiddah, saudi arabia",arabic,none,13.0,academic,usa,0.5,True,https://accent.gmu.edu/samples/arabic42/,https://accent.gmu.edu/audio/arabic42.mp3,primary,residence 0.5y
arabic181,arabic,181,male,19.0,"riyadh, saudi arabia",arabic,none,12.0,academic,usa,0.2,False,https://accent.gmu.edu/samples/arabic181/,https://accent.gmu.edu/audio/arabic181.mp3,primary,residence 0.2y
arabic154,arabic,154,male,64.0,"baha, saudi arabia",arabic,none,12.0,academic,usa,3.5,False,https://accent.gmu.edu/samples/arabic154/,https://accent.gmu.edu/audio/arabic154.mp3,primary,residence 3.5y
arabic2,arabic,2,male,18.0,"damascus, syria",arabic,none,2.5,naturalistic,usa,3.0,True,https://accent.gmu.edu/samples/arabic2/,https://accent.gmu.edu/audio/arabic2.mp3,primary,residence 3y
arabic178,arabic,178,male,57.0,"jiddah, saudi arabia",arabic,none,18.0,academic,usa,1.0,False,https://accent.gmu.edu/samples/arabic178/,https://accent.gmu.edu/audio/arabic178.mp3,primary,residence 1y
arabic74,arabic,74,male,18.0,"alexandria, egypt",arabic,french,4.0,academic,usa,0.4,False,https://accent.gmu.edu/samples/arabic74/,https://accent.gmu.edu/audio/arabic74.mp3,primary,residence 0.4y
arabic46,arabic,46,male,28.0,"jiddah, saudi arabia",arabic,none,13.0,academic,"uk, usa",1.0,True,https://accent.gmu.edu/samples/arabic46/,https://accent.gmu.edu/audio/arabic46.mp3,primary,residence 1y
arabic6,arabic,6,male,21.0,"sanaa, yemen",arabic,none,14.5,academic,"uk,usa",2.0,True,https://accent.gmu.edu/samples/arabic6/,https://accent.gmu.edu/audio/arabic6.mp3,primary,residence 2y
arabic54,arabic,54,male,22.0,"baghdad, iraq",arabic,french,7.0,academic,usa,3.0,False,https://accent.gmu.edu/samples/arabic54/,https://accent.gmu.edu/audio/arabic54.mp3,primary,residence 3y
arabic101,arabic,101,male,21.0,"doha, qatar",arabic,none,10.0,academic,usa,2.0,False,https://accent.gmu.edu/samples/arabic101/,https://accent.gmu.edu/audio/arabic101.mp3,primary,residence 2y
arabic10,arabic,10,male,26.0,"cairo, egypt",arabic,french german,5.0,academic,usa,2.0,True,https://accent.gmu.edu/samples/arabic10/,https://accent.gmu.edu/audio/arabic10.mp3,primary,residence 2y
arabic43,arabic,43,female,29.0,"beirut, lebanon",arabic,french spanish,8.0,academic,N/A,0.0,True,https://accent.gmu.edu/samples/arabic43/,https://accent.gmu.edu/audio/arabic43.mp3,primary,residence 0y
arabic164,arabic,164,female,30.0,"sale, morocco",arabic,french,15.0,academic,usa,2.0,False,https://accent.gmu.edu/samples/arabic164/,https://accent.gmu.edu/audio/arabic164.mp3,primary,residence 2y
arabic149,arabic,149,female,26.0,"riyadh, saudi arabia",arabic,none,12.0,academic,usa,0.5,False,https://accent.gmu.edu/samples/arabic149/,https://accent.gmu.edu/audio/arabic149.mp3,primary,residence 0.5y
arabic88,arabic,88,female,19.0,"beirut, lebanon",arabic,french,4.0,academic,usa,3.0,False,https://accent.gmu.edu/samples/arabic88/,https://accent.gmu.edu/audio/arabic88.mp3,primary,residence 3y
arabic45,arabic,45,female,32.0,"fort collins, colorado, usa",arabic,turkish,12.0,naturalistic,usa,0.5,True,https://accent.gmu.edu/samples/arabic45/,https://accent.gmu.edu/audio/arabic45.mp3,primary,residence 0.5y
arabic87,arabic,87,female,49.0,"kuwait city, kuwait",arabic,turkish,10.0,academic,usa,0.5,False,https://accent.gmu.edu/samples/arabic87/,https://accent.gmu.edu/audio/arabic87.mp3,primary,residence 0.5y
arabic1,arabic,1,female,38.0,"riyadh, saudi arabia",arabic,none,12.0,academic,usa,4.0,True,https://accent.gmu.edu/samples/arabic1/,https://accent.gmu.edu/audio/arabic1.mp3,primary,residence 4y
arabic99,arabic,99,female,25.0,"ad dammam, saudi arabia",arabic,none,16.0,academic,usa,2.0,False,https://accent.gmu.edu/samples/arabic99/,https://accent.gmu.edu/audio/arabic99.mp3,primary,residence 2y
arabic140,arabic,140,female,26.0,"taif, saudi arabia",arabic,none,6.0,academic,usa,2.0,False,https://accent.gmu.edu/samples/arabic140/,https://accent.gmu.edu/audio/arabic140.mp3,primary,residence 2y
arabic90,arabic,90,female,23.0,"tripoli, libya",arabic,turkish,12.0,academic,usa,2.5,False,https://accent.gmu.edu/samples/arabic90/,https://accent.gmu.edu/audio/arabic90.mp3,primary,residence 2.5y
arabic113,arabic,113,female,20.0,"riyadh, saudi arabia",arabic,spanish,1.0,naturalistic,usa,4.0,False,https://accent.gmu.edu/samples/arabic113/,https://accent.gmu.edu/audio/arabic113.mp3,primary,residence 4y
arabic148,arabic,148,female,18.0,"taif, saudi arabia",arabic,none,12.0,academic,N/A,0.0,False,https://accent.gmu.edu/samples/arabic148/,https://accent.gmu.edu/audio/arabic148.mp3,primary,residence 0y
arabic143,arabic,143,female,20.0,"medina, saudi arabia",arabic,none,12.0,academic,usa,1.0,False,https://accent.gmu.edu/samples/arabic143/,https://accent.gmu.edu/audio/arabic143.mp3,primary,residence 1y
arabic116,arabic,116,female,30.0,"al ras, saudi arabia",arabic,none,13.0,academic,usa,4.0,False,https://accent.gmu.edu/samples/arabic116/,https://accent.gmu.edu/audio/arabic116.mp3,primary,residence 4y
arabic199,arabic,199,female,26.0,"kenitra, morocco",arabic,french,14.0,academic,usa,0.3,False,https://accent.gmu.edu/samples/arabic199/,https://accent.gmu.edu/audio/arabic199.mp3,primary,residence 0.3y
arabic133,arabic,133,female,24.0,"abha, saudi arabia",arabic,none,12.0,academic,N/A,0.0,False,https://accent.gmu.edu/samples/arabic133/,https://accent.gmu.edu/audio/arabic133.mp3,primary,residence 0y
arabic109,arabic,109,female,19.0,"riyadh, saudi arabia",arabic,none,10.0,academic,N/A,0.0,False,https://accent.gmu.edu/samples/arabic109/,https://accent.gmu.edu/audio/arabic109.mp3,primary,residence 0y
arabic189,arabic,189,female,18.0,"riyadh, saudi arabia",arabic,none,12.0,academic,usa,2.0,False,https://accent.gmu.edu/samples/arabic189/,https://accent.gmu.edu/audio/arabic189.mp3,primary,residence 2y
arabic84,arabic,84,female,26.0,"medina, saudi arabia",arabic,none,12.0,academic,usa,2.0,False,https://accent.gmu.edu/samples/arabic84/,https://accent.gmu.edu/audio/arabic84.mp3,primary,residence 2y
arabic157,arabic,157,female,38.0,"sanaa, yemen",arabic,none,6.0,academic,usa,2.0,False,https://accent.gmu.edu/samples/arabic157/,https://accent.gmu.edu/audio/arabic157.mp3,primary,residence 2y
bengali1,bengali,1,male,23.0,"dhaka, bangladesh",bengali,hindi-urdu,16.0,academic,usa,1.0,True,https://accent.gmu.edu/samples/bengali1/,https://accent.gmu.edu/audio/bengali1.mp3,primary,residence 1y
bengali14,bengali,14,male,26.0,"kolkata, india",bengali,none,4.0,N/A,N/A,0.0,False,https://accent.gmu.edu/samples/bengali14/,https://accent.gmu.edu/audio/bengali14.mp3,primary,residence 0y
bengali21,bengali,21,male,53.0,"sreepur, bangladesh",bengali,hindi,8.0,academic,usa,1.5,False,https://accent.gmu.edu/samples/bengali21/,https://accent.gmu.edu/audio/bengali21.mp3,primary,residence 1.5y
bengali20,bengali,20,male,23.0,"chittagong, bangladesh",bengali,hindi,5.0,academic,usa,3.5,False,https://accent.gmu.edu/samples/bengali20/,https://accent.gmu.edu/audio/bengali20.mp3,primary,residence 3.5y
bengali6,bengali,6,male,29.0,"jamshedpur, jharkhand, india",bengali,hindi,4.0,naturalistic,uk,2.0,True,https://accent.gmu.edu/samples/bengali6/,https://accent.gmu.edu/audio/bengali6.mp3,primary,residence 2y
bengali4,bengali,4,male,24.0,"chittagong, bangladesh",bengali,hindi-urdu spanish,6.0,academic,usa,5.0,True,https://accent.gmu.edu/samples/bengali4/,https://accent.gmu.edu/audio/bengali4.mp3,relaxed_residence,residence 5y (over 5y threshold)
bengali7,bengali,7,male,49.0,"mymensingh, bangladesh",bengali,hindi urdu,6.0,academic,usa,5.5,True,https://accent.gmu.edu/samples/bengali7/,https://accent.gmu.edu/audio/bengali7.mp3,relaxed_residence,residence 5.5y (over 5y threshold)
bengali11,bengali,11,male,34.0,"durgapur, west bengal, india",bengali,hindi,3.5,academic,usa,8.0,True,https://accent.gmu.edu/samples/bengali11/,https://accent.gmu.edu/audio/bengali11.mp3,relaxed_residence,residence 8y (over 5y threshold)
bengali8,bengali,8,male,54.0,"noakhali, bangladesh",bengali,urdu hindi,5.0,academic,usa,9.0,True,https://accent.gmu.edu/samples/bengali8/,https://accent.gmu.edu/audio/bengali8.mp3,relaxed_residence,residence 9y (over 5y threshold)
bengali22,bengali,22,male,49.0,"satkhira, bangladesh",bengali,hindi urdu,7.0,academic,usa,14.0,False,https://accent.gmu.edu/samples/bengali22/,https://accent.gmu.edu/audio/bengali22.mp3,relaxed_residence,residence 14y (over 5y threshold)
bengali24,bengali,24,male,59.0,"noakhali, bangladesh",bengali,urdu hindi,7.0,academic,usa,37.0,False,https://accent.gmu.edu/samples/bengali24/,https://accent.gmu.edu/audio/bengali24.mp3,relaxed_residence,residence 37y (over 5y threshold)
